audit_id,route,title,reviewer_a_decision,reviewer_a_corpus_type,reviewer_a_reason_code,reviewer_a_rationale,reviewer_b_decision,reviewer_b_corpus_type,reviewer_b_reason_code,reviewer_b_rationale,final_decision,final_corpus_type,final_reason_code,adjudication_rationale
ALT-f2248af7866f,fresh_alternate_public_search,A Bayesian disease progression model for Major Depressive Disorder,uncertain,uncertain,inaccessible_full_text,Indexed title suggests a Bayesian depression progression model; methods and trajectory evaluation could not be verified.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-2f2ac4647872,fresh_alternate_public_search,A Digital Twin Framework for Predictive Modeling and Intervention Optimization in Inflammatory Bowel Disease,uncertain,uncertain,inaccessible_full_text,Indexed title suggests an IBD intervention digital twin; no stable methods and results text was accessible.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-dc913f452db6,fresh_alternate_public_search,A Hybrid Deep Learning Framework to Predict Alzheimer’s Disease Progression Using Generative Adversarial Networks and Deep Convolutional Neural Networks,exclude,empirical,no_future_or_action_evaluation,Uses GAN augmentation with a convolutional progression classifier; evaluates stage prediction rather than temporal state rollouts.,exclude,not_applicable,no_future_or_action_evaluation,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",,,,
ALT-6fcc7e27909c,fresh_alternate_public_search,A Multimodal Disease Progression Model for Genetic Associations with Disease Dynamics,exclude,empirical,no_future_or_action_evaluation,Models multimodal disease staging and genetic associations; does not directly evaluate future rollout or action response.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-bc44662f8af7,fresh_alternate_public_search,A tool to measure the impact of inaction toward elimination of hepatitis C: A case study in Korea.,exclude,empirical,no_learned_dynamics,Applies a pre-specified Markov HCV progression simulator; compares elimination policies without fitting transition dynamics.,exclude,not_applicable,no_learned_dynamics,"The simulator is mechanistic, economic, or surrogate-based without a data-fitted transition component meeting the rubric.",,,,
ALT-e973e602f301,fresh_alternate_public_search,AI-Driven Digital Twin Framework for Predictive Healthcare,exclude,review,review_not_primary,Presents a broad predictive-healthcare digital-twin framework; does not substantially synthesize evaluated learned dynamics.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-cf23547c69b1,fresh_alternate_public_search,AI-Guided Inference of Morphodynamic Attractor-like States in Glioblastoma.,include,empirical,include_empirical,Infers latent glioblastoma morphodynamic attractor dynamics; evaluates perturbation sensitivity and proof-of-concept control.,exclude,not_applicable,no_future_or_action_evaluation,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",,,,
ALT-0e16f0063c94,fresh_alternate_public_search,AlzheimerODE: A Knowledge-Guided Generative Model for Alzheimer's Disease Progression,uncertain,uncertain,inaccessible_full_text,Indexed title indicates a generative Alzheimer ODE model; primary methods and results were not stably accessible.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-eefa5c2463e3,fresh_alternate_public_search,An Open Source Patient Simulator for Design and Evaluation of Computer Based Multiple Drug Dosing Control for Anesthetic and Hemodynamic Variables,exclude,empirical,no_learned_dynamics,Uses a hand-specified anesthetic and hemodynamic patient simulator; evaluates controllers without data-learned transition behavior.,exclude,not_applicable,no_learned_dynamics,"The simulator is mechanistic, economic, or surrogate-based without a data-fitted transition component meeting the rubric.",,,,
ALT-7c951eb38f74,fresh_alternate_public_search,Anticipatory Healthcare Analytics: Inferring Latent Disease Dynamics from Noisy Clinical Observations,exclude,not_applicable,no_primary_empirical_evaluation,Proposes a conceptual latent-state healthcare analytics framework; provides no defensible empirical dynamics evaluation.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",,,,
