candidate_id,title,abstract,final_corpus_type,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,final_decision,final_reason_code,resolution_route,adjudication_rationale,source_routes,source_record_ids,exact_match_group_size,manual_lineage_review_required,lineage_action,lineage_canonical_candidate_id,lineage_relation_type,lineage_rationale,lineage_source_anchor,lineage_confidence
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,,empirical,Shoumik Roychowdhury; Shounak Roychowdhury,2020,2020,2020 International Joint Conference on Neural Networks (IJCNN),10.1109/ijcnn48605.2020.9206875,,https://doi.org/10.1109/ijcnn48605.2020.9206875,proceedings-article,crossref,"""disease progression model"" generative intervention",registered,include,include_empirical,merged_inclusion_sources,A conditional GAN learns longitudinal Alzheimer state progression and recursively generates later disease-stage trajectories; future stage outputs are directly compared with held-out longitudinal patient sequences.,expanded_search,ALT-10e1e2640b93,1,no,retain,MWM-X10E1E2640B,no_related_version_identified,"The IJCNN proceedings article is a distinct cGAN progression study by the Roychowdhury authors. It does not share authors, identifier, or study lineage with the SimulAD family or another corpus record, and no update or unstable-publication signal was found.",https://doi.org/10.1109/ijcnn48605.2020.9206875,high
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,"Abstract Acute kidney injury in sepsis evolves over hours to days, yet most ICU models emphasize onset and provide limited insight into cardio-renal interactions. We developed AKI-twinX, an organ-structured, explainable digital twin that jointly forecasts acute kidney injury onset, acute kidney injury trajectory, and near-term mortality risk. The model learns renal and cardiovascular latent states with sparse feature gating and captures cross-organ coupling with attention. We trained AKI-twinX on MIMIC-IV sepsis using 5-fold cross-validation and evaluated it on an Indiana University Health cohort. Discrimination was consistent across systems (AUC: mortality 0.86-0.88, acute kidney injury onset 0.78-0.82, acute kidney injury trajectory 0.73-0.78). In vasopressor-treated windows, 12-hour systolic blood pressure forecasts tracked observed values (mean absolute error 8.5 mmHg). Counterfactual vasopressor withdrawal shifted predicted blood pressure downward and increased predicted risk, supporting sensitivity to clinically meaningful interventions. AKI-twinX enables trajectory-aware forecasting with bedside auditability in sepsis.",empirical,Jinjin Cai; Allison E Gatz; Jiangqiong Li; Deborupa Pal; Haixu Tang; Michael T Eadon; Baijian Yang; Lingzhong Meng; Jing Su,2026,2026,openRxiv,10.64898/2026.03.13.26346736,,https://doi.org/10.64898/2026.03.13.26346736,posted-content,crossref,"""medical digital twin"" trajectory;""physiological trajectory"" forecasting",registered,include,include_empirical,merged_inclusion_sources,"The model learns coupled renal and cardiovascular latent transitions from MIMIC-IV, validates AKI and blood-pressure trajectories externally, and tests vasopressor-withdrawal counterfactual responses.",expanded_search,ALT-f6449fe2d40f,1,no,retain,MWM-XF6449FE2D4,current_preprint_no_successor_identified,"The medRxiv record is the current public version. The AKI topic overlaps with MWM-0215, but authors, model, title, and study design differ, so this is not a publication-family duplicate; no successor or unstable-publication signal was found.",https://doi.org/10.64898/2026.03.13.26346736;https://doi.org/10.53941/aim.2026.100002,medium
MWM-X1BBCF32528,"CellPace: A temporal diffusion-forcing framework for simulation, interpolation and forecasting of single-cell dynamics","Abstract Single-cell omics technologies resolve cellular heterogeneity at high resolution but provide only static snapshots of continuous developmental processes. This makes it difficult to recover coherent temporal dynamics when developmental stages are irregularly sampled or missing. While recent generative models can simulate observed cell states, they often treat timepoints as discrete categories, hindering interpolation across gaps and extrapolation to unobserved future stages. We present CellPace, a generative model that learns and generates developmental dynamics by leveraging a transformer-based temporal diffusion backbone conditioned on continuous, gap-aware temporal encodings. Across diverse mouse developmental lineages, CellPace achieves state-of-the-art performance in simulation, interpolation, and forecasting tasks. Beyond recovering global population statistics, generated cells preserve fine-grained biological structure, retaining dynamic gene regulatory programs and mapping accurately to anatomical regions in spatial transcriptomics data. Furthermore, CellPace extends naturally to multi-modal data, modeling joint RNA-chromatin dynamics even when temporal ordering is inferred from pseudotime. Together, these results position CellPace as a robust framework for modeling and generating continuous developmental dynamics from sparse, cross-sectional single-cell data.",empirical,Chen Su; Amin Emad,2026,2026,openRxiv,10.64898/2026.02.25.707938,,https://doi.org/10.64898/2026.02.25.707938,posted-content,crossref,"""virtual cell"" temporal dynamics",registered,include,include_empirical,merged_inclusion_sources,"CellPace learns continuous developmental transitions with a temporal diffusion transformer and directly evaluates simulation, missing-time interpolation, and extrapolation to unseen future stages.",expanded_search,ALT-1bbcf3252882,1,no,retain,MWM-X1BBCF32528,current_preprint_no_successor_identified,"The bioRxiv DOI is the current CellPace report. It is methodologically and authorially distinct from CardamomOT, Chreode, and the virtual-cell roadmap; no successor or unstable-publication signal was identified.",https://doi.org/10.64898/2026.02.25.707938,medium
MWM-X2BD39C3B8E,Deep Generative Model of Macrophage Immune Response for Hepato-intestinal Tumor Therapy Optimization.,"Digestive tract cancers, including hepatobiliary and gastrointestinal malignancies, remain a major oncological burden globally. Immunotherapy efficacy rates are low, with only 15% to 30% of patients experiencing responses following treatment. Tumor-associated macrophages, which change phenotype between a pro-inflammatory and an immunosuppressive state, play a key role in determining the response to therapy, and current static biomarkers are inadequate for capturing the spatial-temporal changes associated with the immune response. We developed a bioinspired digital twin platform integrating variational representation learning with causal sequence modeling. The platform incorporates heterogeneous biological data (1.2 million single-cell transcriptomes, spatial immunophenotyping, and clinical trajectories) from 2,847 individuals across 5 digestive cancer types. Graph-based attention mechanisms encode intercellular interactions, while transformer-based temporal modules simulate immunological state transitions. A model-predictive optimization layer identifies patient-specific interventions maximizing repolarization potential. The biomimetic model predicted the outcome of therapy response better than conventional biomarker models did (area under the receiver operating characteristic curve: 0.847 compared to 0.692 with a statistically significant difference at P below 0.001). In an exploratory, nonrandomized analysis of discordant cases ( n = 156) where model and physician recommendations differed, model-guided treatment was associated with higher response rates (47.4% versus 28.2%) and longer median progression-free survival (9.8 months versus 6.0 months; P = 0.003); however, selection bias cannot be excluded. This study provides preliminary evidence for the feasibility of a computational framework for immunotherapy optimization; prospective randomized trials are required to establish clinical utility.",empirical,"Zhou L, Tan Y, Lv W, Lin K, Li F, Ouyang W, Zhang D.",2026,2026-06-16,,10.34133/cbsystems.0559,,https://europepmc.org/article/MED/42644119,,['europe_pmc'],['europe_pmc_core'],indexed,include,include_empirical,merged_inclusion_sources,"A temporal transformer learns macrophage-state transitions from single-cell, spatial, and clinical trajectories; model-predictive control evaluates patient-specific repolarization interventions and therapy outcomes.",expanded_search,AUD-eb75e7258782,1,no,retain,MWM-X2BD39C3B8E,no_related_version_identified,"The Cyborg and Bionic Systems DOI is the stable journal article. Exact-title and author checks found no prior version represented elsewhere in the corpus and no correction, withdrawal, or retraction signal.",https://doi.org/10.34133/cbsystems.0559,high
MWM-XF38CEA9063,Digital twin models for predicting venetoclax and azacitidine-induced neutropenia in patients with acute myeloid leukemia.,"Therapeutic toxicity, which can be life-threatening, presents a major challenge in treating patients with acute myeloid leukemia (AML). Medical digital twins, which are virtual representations of patient disease, have the potential to forecast disease progression and simulate potential treatments. Using neutrophil counts and blast percentages, we developed mechanistic models to predict toxicity (neutropenia) in AML patients receiving combination venetoclax and azacitidine treatment. We identified a best-fitting model, though patient-specific accuracy was highly variable. To address this variability, we investigated subsets of patients based on their accordance with model assumptions, and were able to identify features predictive of model fit. In addition, we found that continuous updating over time improves model accuracy. The model evaluated in this study could be further validated in a larger clinical setting and may support a digital twin for decision making in forecasting therapeutic toxicity of venetoclax and azacitidine treatment.",empirical,"Zhang Y, Martinez J, Tercan B, Kuusanmäki H, Emmert-Streib F, Chandraseelan JG, Farea A, Yli-Harja O, Heckman CA, Gibbs DL, Thorsson V, Shmulevich I, Kontro M, Qin G, Aguilar B.",2025,2025-10-06,,10.1038/s41746-025-01978-4,,https://europepmc.org/article/MED/41053343,,europe_pmc,europe_pmc_core,indexed,include,include_empirical,merged_inclusion_sources,"Patient-specific mechanistic transitions for blasts and neutrophils are fitted and continuously updated from treatment data, with future neutropenia trajectories evaluated across patients.",expanded_search,ALT-f38cea90635e,1,no,retain,MWM-XF38CEA9063,no_related_version_identified,"The npj Digital Medicine DOI is the stable full article. No same-title preprint, renamed publication, corpus duplicate, correction, withdrawal, or retraction was identified.",https://doi.org/10.1038/s41746-025-01978-4,high
MWM-XEA4B3285B2,Learning Temporal Basis Vectors for Closed-Loop Neural Stimulation.,"We introduce a new framework for forecasting the spatiotemporal neural response to stimulation based on learning temporal basis functions. Our proposed temporal basis function model (TBFM) predicts neural responses as a function of both past neural activity and stimulation parameters. This enables TBFM's application to closed-loop neural stimulation using model-based control techniques such as model predictive control (MPC) or model-based reinforcement learning (MBRL). We illustrate the use of TBFMs on data from 40 sessions of micro-electrocorticography (μECog) capturing the response to excitatory optogenetic stimulation in two non-human primates (NHPs). We show that in such a setting, TBFMs require less than 20 minutes of data collection and 5 minutes of training time, while exhibiting accuracy comparable to a complex non-linear dynamical systems model, and greater accuracy than linear state space models (LSSMs) such as those based on the Kalman Filter. Finally, we demonstrate the model's ability to shape neural activity towards desired regimes in two simulated closed-loop stimulation experiments.Clinical relevance- By optimizing sample efficiency, training time, and latency, our model begins to bridge the gap between complex AI-based approaches to modeling brain stimulation and the vision of using such models to develop novel closed-loop stimulation protocols for treating a variety neurological conditions.",empirical,Matthew J Bryan; Felix Schwock; Azadeh Yazdan-Shahmorad; Rajesh P N Rao,2025,2025,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/embc58623.2025.11254522,,https://pubmed.ncbi.nlm.nih.gov/41336632/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,include,include_empirical,merged_inclusion_sources,"The temporal-basis model learns stimulation-conditioned neural transitions from primate recordings, forecasts responses, and is operationally evaluated in simulated model-predictive closed-loop control.",expanded_search,ALT-ea4b3285b2fe,1,no,retain,MWM-XEA4B3285B2,conference_full_paper_no_successor_identified,"The seven-page EMBC proceedings paper is the current full conference publication, not merely an abstract. It has no matching corpus duplicate, journal successor, correction, withdrawal, or retraction signal.",https://doi.org/10.1109/embc58623.2025.11254522,high
MWM-X772584A789,Multi-Objective Model-based Reinforcement Learning for Infectious Disease Control,"Severe infectious diseases such as the novel coronavirus (COVID-19) pose a huge threat to public health. Stringent control measures, such as school closures and stay-at-home orders, while having significant effects, also bring huge economic losses. In the face of an emerging infectious disease, a crucial question for policymakers is how to make the trade-off and implement the appropriate interventions timely given the huge uncertainty. In this work, we propose a Multi-Objective Model-based Reinforcement Learning framework to facilitate data-driven decision-making and minimize the overall long-term cost. Specifically, at each decision point, a Bayesian epidemiological model is first learned as the environment model, and then the proposed model-based multi-objective planning algorithm is applied to find a set of Pareto-optimal policies. This framework, combined with the prediction bands for each policy, provides a real-time decision support tool for policymakers. The application is demonstrated with the spread of COVID-19 in China.",empirical,"Wan R, Zhang X, Song R.",2022,2022-02-26,,,,https://europepmc.org/article/PPR/PPR597469,,europe_pmc,europe_pmc_core,indexed,include,include_empirical,merged_inclusion_sources,A Bayesian epidemiological transition model is learned at each decision point and used for multi-objective planning; Pareto policies and predictive bands are evaluated on COVID-19 control data.,expanded_search,ALT-772584a789d2,1,no,retain,MWM-X772584A789,cross_repository_preprint_versions,"The Europe PMC preprint record corresponds to arXiv 2009.04607, whose current public version is v3. It is a distinct Wan-Zhang-Song multi-objective study, not a renamed version of the single-author malaria-control paper MWM-0369; no publisher successor was found.",https://arxiv.org/abs/2009.04607v3;https://europepmc.org/article/PPR/PPR597469;https://doi.org/10.24963/ijcai.2021/71,high
MWM-X7FD0DBDE79,Predictive modeling of hemodynamics during viscerosensory neurostimulation via neural computation mechanism in the brainstem.,"Neurostimulation for cardiovascular control faces challenges due to the lack of predictive modeling for stimulus-driven dynamic responses, which is crucial for precise neuromodulation via quality feedback. We address this by employing a digital twin approach that leverages computational mechanisms underlying neuro-hemodynamic responses during neurostimulation. Our results emphasize the computational role of the nucleus tractus solitarius (NTS) in the brainstem in determining these responses. The intrinsic neural circuit within the NTS harbors collective dynamics residing in a low-dimensional latent space, which effectively captures stimulus-driven hemodynamic perturbations. Building on this, we developed a digital twin framework for individually optimized predictive modeling of neuromodulatory outcomes. This framework potentially enables the design of closed-loop neurostimulation systems for precise hemodynamic control. Consequently, our digital twin based on neural computation mechanisms marks an advancement in the artificial regulation of internal organs, paving the way for precise translational medicine to treat chronic diseases.",empirical,"Lee J, Mun J, Choo M, Park SM.",2025,2025-04-23,,10.1038/s41746-025-01635-w,,https://europepmc.org/article/MED/40269082,,europe_pmc,europe_pmc_core,indexed,include,include_empirical,merged_inclusion_sources,A patient-specific latent neural-computation transition maps stimulation to evolving hemodynamic response and is evaluated for prediction and prospective closed-loop control design.,expanded_search,ALT-7fd0dbde7906,1,no,retain,MWM-X7FD0DBDE79,no_related_version_identified,"The npj Digital Medicine article is the stable full report. No same-study preprint, duplicate corpus record, correction, withdrawal, or retraction was identified.",https://doi.org/10.1038/s41746-025-01635-w,high
MWM-X9C071A2447,Structure-aware World Model for Probe Guidance via Large-scale Self-supervised Pre-train,"The complex structure of the heart leads to significant challenges in echocardiography, especially in acquisition cardiac ultrasound images. Successful echocardiography requires a thorough understanding of the structures on the two-dimensional plane and the spatial relationships between planes in three-dimensional space. In this paper, we innovatively propose a large-scale self-supervised pre-training method to acquire a cardiac structure-aware world model. The core innovation lies in constructing a self-supervised task that requires structural inference by predicting masked structures on a 2D plane and imagining another plane based on pose transformation in 3D space. To support large-scale pre-training, we collected over 1.36 million echocardiograms from ten standard views, along with their 3D spatial poses. In the downstream probe guidance task, we demonstrate that our pre-trained model consistently reduces guidance errors across the ten most common standard views on the test set with 0.29 million samples from 74 routine clinical scans, indicating that structure-aware pre-training benefits the scanning.",empirical,Haojun Jiang; Meng Li; Zhenguo Sun; Ning Jia; Yu Sun; Shaqi Luo; Shiji Song; Gao Huang,2024,2024-06-28,arXiv (Cornell University),10.48550/arxiv.2406.19756,2406.19756,http://arxiv.org/abs/2406.19756,preprint,['openalex'],"['""world model"" clinical', '""world model"" echocardiography', '""world model"" medicine']",open-access,include,include_empirical,merged_inclusion_sources,Paired echocardiographic planes and their pose changes train a model to predict target-plane features from a source plane and probe transformation; the learned spatial transition is operationally evaluated through six-degree-of-freedom probe-guidance error.,exhaustive_rescreen,AUD-93cb6bb435b3,1,no,retain,MWM-X9C071A2447,preprint_to_workshop_proceedings_and_companion_study_family,"arXiv 2406.19756 v2 corresponds to the ASMUS/MICCAI workshop chapter DOI 10.1007/978-3-031-73647-6_6. It shares the full author team with Cardiac Copilot MWM-0294, but uses a distinct self-supervised objective, substantially larger ten-view dataset, and separate evaluation, so it is a companion rather than a duplicate.",https://arxiv.org/abs/2406.19756v2;https://doi.org/10.1007/978-3-031-73647-6_6;https://doi.org/10.1007/978-3-031-72378-0_18,high
MWM-X2E0B832A46,Type 1 diabetes prevention clinical trial simulator: Case reports of model-informed drug development tool.,"Clinical trials seeking to delay or prevent the onset of type 1 diabetes (T1D) face a series of pragmatic challenges. Despite more than 100 years since the discovery of insulin, teplizumab remains the only FDA-approved therapy to delay progression from Stage 2 to Stage 3 T1D. To increase the efficiency of clinical trials seeking this goal, our project sought to inform T1D clinical trial designs by developing a disease progression model-based clinical trial simulation tool. Using individual-level data collected from the TrialNet Pathway to Prevention and The Environmental Determinants of Diabetes in the Young natural history studies, we previously developed a quantitative joint model to predict the time to T1D onset. We then applied trial-specific inclusion/exclusion criteria, sample sizes in treatment and placebo arms, trial duration, assessment interval, and dropout rate. We implemented a function for presumed drug effects. To increase the size of the population pool, we generated virtual populations using multivariate normal distribution and ctree machine learning algorithms. As an output, power was calculated, which summarizes the probability of success, showing a statistically significant difference in the time distribution until the T1D diagnosis between the two arms. Using this tool, power curves can also be generated through iterations. The web-based tool is publicly available: https://app.cop.ufl.edu/t1d/. Herein, we briefly describe the tool and provide instructions for simulating a planned clinical trial with two case studies. This tool will allow for improved clinical trial designs and accelerate efforts seeking to prevent or delay the onset of T1D.",empirical,Juan Francisco Morales; Marian Klose; Yannick Hoffert; Jagdeep T Podichetty; Jackson Burton; Stephan Schmidt; Klaus Romero; Inish O'Doherty; Frank Martin; Martha Campbell-Thompson; Michael J Haller; Mark A Atkinson; Sarah Kim,2024,2024,CPT: pharmacometrics & systems pharmacology,10.1002/psp4.13193,,https://pubmed.ncbi.nlm.nih.gov/38961520/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,include,include_empirical,merged_inclusion_sources,"A joint natural-history model fitted to TrialNet and TEDDY data drives virtual progression to type 1 diabetes, treatment-effect scenarios, and repeated trial-power simulations.",expanded_search,ALT-2e0b832a46b2,1,no,retain,MWM-X2E0B832A46,conference_abstract_to_full_article_and_companion_trial_simulator_series,"The 2022 ADA 63-OR report is a conference-abstract precursor to the full 2024 CPT article. The article also belongs to the simulator series with MWM-X872C154484 and MWM-X6FB8E7370E, but its T1D model and case studies are distinct and remain separately retained.",https://diabetesjournals.org/diabetes/article/71/Supplement_1/63-OR/145996/63-OR-Type-1-Diabetes-Clinical-Trial-Simulator-A;https://doi.org/10.1002/psp4.13193;https://doi.org/10.1002/psp4.12753;https://doi.org/10.1002/psp4.70258,high
