candidate_id,title,highest_capability_claim,state_evidence,dynamics_evidence,rollout_evidence,action_evidence,uncertainty_evidence,causal_evidence,external_evidence,decision_evidence,safety_evidence,reproducibility_evidence,free_running_rollout,horizon_resolved_results,formal_calibration,frozen_external_validation,action_agnostic_comparator,action_perturbation,explicit_causal_estimand,closed_loop_evaluation,safety_hazard_test,public_code,evidence_anchors,reviewer_notes,confidence
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,planning,2,2,1,1,1,NA,0,2,2,0,yes,no,no,no,no,no,NA,simulation,yes,no,"Official IEEE Access PDF, DOI 10.1109/ACCESS.2021.3100007: pp. 5-9 define the extended state, random-forest glucose transition model, 30-min prediction target, and safe-SAC actions; pp. 12-16 and Tables 3-5 report recursive prediction errors and 20-day closed-loop outcomes; Figs. 6-10 show virtual-subject control and safety behavior.","Planning is demonstrated only in the UVA/Padova in-silico environment. Fifty-step imagined trajectories are used for learning, but performance is not reported as a function of rollout horizon. PID guides early training and is a control baseline, not an action-agnostic dynamics comparator. No formal uncertainty calibration or external cohort is reported.",high
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,planning,2,2,1,1,0,0,0,1,0,2,yes,no,no,no,no,yes,no,simulation,no,yes,"PMC13370802 Methods: held-out fMRI reconstruction and closed-loop control; Results Figs. 2-6 report spectra, functional connectivity, target likelihood and control energy; Limitations state one dataset and no empirical stimulation validation; GitHub humml-lab/fmri-control.","Planning is demonstrated only inside an individually fitted latent model. Region-restricted controls support action sensitivity, but there is no action-agnostic predictive comparator, formal calibration, external cohort, identified causal estimand, or physiological hazard test. Hyperparameters/model selection used test data in a subset.",high
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,passive_forecasting,1,1,0,NA,0,NA,0,0,0,1,unclear,yes,no,no,NA,NA,NA,no,no,no,Primary PDF pp. 3-7; Fig. 3; Sec. V-A/V-B; Fig. 21; DOI 10.1109/IJCNN48605.2020.9206875,"Visit-stage images and fractal trends are reported, but no held-out patient trajectory, demonstrated full cascade, calibration, baseline, or external test.",high
MWM-0008,A World Model of Radiologist Reading for Medical Image Representation Learning,passive_forecasting,2,1,0,NA,0,NA,1,1,0,1,no,no,no,no,NA,NA,NA,no,no,unclear,Abstract p.1; Sec.3 and Fig.1 pp.3-5; Sec.4 and Tables 1-5 pp.5-9; Limitations p.10; Apps.A-B pp.13-15,"Direct gaze and downstream task evaluation supports state evidence, but pretraining is teacher-forced and does not establish free-running clinical dynamics.",high
MWM-X36A3691F14,A data-driven Alzheimer's disease progression simulator for retrospective validation and prospective Phase III power design.,counterfactual,2,2,2,2,1,1,1,2,0,1,yes,yes,no,no,yes,yes,yes,offline,no,yes,"medRxiv full text, DOI 10.64898/2026.05.03.26352317: Abstract and pp. 2-4 state the six-trial retrospective/prospective design; Results pp. 5-11, Tables 1-2, and Figs. 1-5 report biomarker trajectories, placebo/treatment contrasts, endpoint predictions, and power curves; Methods pp. 14-21 define the VAE-neural-ODE state and amyloid-clearance intervention; pp. 13-14 discuss limitations.","The paper implements intervention-conditioned trial simulations and explicit treated-versus-placebo endpoint/power calculations. Trial-specific and leave-one-trial-out calibration means the external trial comparison is not a fully frozen independent validation. Repeated simulations quantify Monte Carlo variation, but no reliability, coverage, or calibration-slope analysis is reported. Public source code is identified in the paper.",high
MWM-XB41D731350,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,planning,2,2,1,2,0,1,0,2,1,2,yes,no,no,no,yes,yes,yes,simulation,yes,yes,"medRxiv v1 Methods: synthetic hospital, H=7 graph forecasting, matched policy branches and MILP; Results report stress tests, held-out action-ranking accuracy/regret/non-worsening; official predictive and causal GitHub repositories.","This is strong within-simulator planning evidence with baseline containment, multiple policy perturbations and constraints. Causal evidence is partial because the estimand and matched random streams are explicit only within an assumed synthetic system; no real-hospital identification or external validation exists. Safety is a constraint/stress proxy, not clinical safety.",high
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,counterfactual,2,2,0,1,0,0,2,1,0,1,no,no,no,yes,no,yes,no,offline,no,no,Preprint pp. 16-24; Fig. 2; Fig. 4; Case-based intervention section; DOI 10.64898/2026.03.13.26346736,"The withdrawal analysis is explicitly a sensitivity probe rather than a causal effect. External IUH evaluation is frozen, but forecasts are one-step and uncalibrated.",high
MWM-0011,Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound,planning,2,2,1,2,1,NA,0,2,1,0,yes,yes,no,no,yes,yes,NA,real,no,no,Sec.II pp.2-4; Table I p.5; Fig.4 and Tables II-IV pp.5-7; Discussion p.8,"Real closed-loop guidance and zero/inverse-action controls support planning and action evidence. The image model predicts offsets rather than recursively consuming generated images, and force safety is not measured.",high
MWM-0012,Affective Music Recommendation: A Rollout-Based World Model for Offline Preference Optimization,planning,2,1,1,2,0,0,0,1,1,0,yes,no,no,no,yes,yes,no,offline,no,unclear,Abstract p.1; Sec.3 and Fig.1 pp.2-4; Sec.4 and Tables 1-5 pp.5-8; Sec.5.1-5.3 p.8,"The five-song simulator is free-running and used for offline optimization, but utility is evaluated inside the learned simulator. Counterfactual-history wording lacks causal identification.",high
MWM-0013,Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model,planning,2,1,1,1,1,1,2,2,1,2,yes,no,no,yes,no,no,yes,offline,yes,yes,Abstract and Secs.2-3 pp.1-5; Tables 3-4 pp.8-9; Apps.C-F pp.15-18; Apps.I-J pp.23-24,"Planning is evaluated with model rollouts and OPE, including unsafe-action review, but transition fidelity is mainly one-step and causal identification, overlap, and calibrated uncertainty are incomplete.",high
