audit_id,route,title,reviewer_a_decision,reviewer_a_corpus_type,reviewer_a_reason_code,reviewer_a_rationale,reviewer_b_decision,reviewer_b_corpus_type,reviewer_b_reason_code,reviewer_b_rationale,final_decision,final_corpus_type,final_reason_code,adjudication_rationale
AUD-7079600c723b,primary_medical_filter_residual,A frontal cortical world model shapes inference of causal relationships in hippocampus,exclude,empirical,no_learned_dynamics,"The reported world model is a cognitive representation, not a transition simulator learned or calibrated from biomedical observations.",exclude,not_applicable,wrong_domain,Abstract causal-task structure; The modeled system is outside a substantive medical or biomedical state.,exclude,not_applicable,no_learned_dynamics,"Primary full text studies neural representations during one-shot causal inference: hippocampal and inferior-frontal activity encodes an abstract task-rule/relational world model. The modeled object is not a physiological or patient state-transition function learned from biomedical observations, and the paper does not evaluate medical-state forecasting, rollout, intervention response, or simulator fidelity."
AUD-5dde3c545ed5,primary_phrase_filter_residual,Deep Reinforcement Learning of Dynamic Treatment Policies for Chronic Kidney Disease from Longitudinal Electronic Health Records,uncertain,uncertain,inaccessible_full_text,"No abstract or stable full text was accessible, so model-based dynamics and their evaluation cannot be verified.",uncertain,uncertain,inaccessible_full_text,Unclear ckd treatment-policy dynamics; Primary text was insufficient to make a defensible eligibility decision.,exclude,not_applicable,no_learned_dynamics,"The longitudinal EHR study trains a double deep Q-network to learn treatment action values/policies for chronic kidney disease. Its reported evaluation concerns guideline/clinician concordance and associations between recommended actions and outcomes; it does not fit or evaluate a CKD state-transition model, future-state rollout, or learned clinical simulator."
AUD-5a52431a4a41,primary_phrase_filter_residual,Echo-POSED: Geometric Self-Distillation for Echocardiography Guidance,exclude,empirical,no_learned_dynamics,"Closed-loop guidance uses a proportional controller, but the ultrasound environment transition is not learned.",include,empirical,include_empirical,Action-to-view geometric transitions; directly evaluated through virtual perturbation and guidance trajectories.,exclude,not_applicable,no_learned_dynamics,Echo-POSED learns relative 3D ultrasound probe pose from resliced echocardiography volumes. The guidance demonstrations update views through known virtual rotation/reslicing geometry and a proportional controller; the network estimates pose but does not learn cardiac or ultrasound-state transition dynamics from observed trajectories.
AUD-f207351174df,primary_phrase_filter_residual,MicroVerse: A Preliminary Exploration Toward a Micro-World Simulation,include,empirical,include_empirical,The learned generator produces and directly evaluates biomedical micro-scale dynamics.,exclude,empirical,no_future_or_action_evaluation,"Text-to-video biological content generation; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",include,empirical,include_empirical,"MicroVerse fine-tunes a video generator on curated organ-, cellular-, and subcellular-scale biomedical simulation trajectories. It directly evaluates generated temporal dynamics with distributional video fidelity, temporal-consistency measures, and expert scientific/visual criteria, so the learned model produces and tests evolving biomedical states rather than static images alone."
AUD-e7a5b608002f,primary_phrase_filter_residual,TwinCell: Large Causal Cell Model for Reliable and Interpretable Therapeutic Target Prioritisation,exclude,empirical,no_future_or_action_evaluation,It explicitly prioritizes targets rather than predicting or rolling out perturbation-induced cell-state transitions.,include,empirical,include_empirical,Causal cellular perturbation model; directly evaluated through held-out perturbation and target recovery.,exclude,not_applicable,no_future_or_action_evaluation,"TwinCell explicitly frames its task as identifying upstream regulators that may drive a cell-state transition rather than predicting post-perturbation outcomes. The experiments evaluate target prioritization and recovery across disease applications, but do not evaluate a learned future cellular state, perturbation response, recursive rollout, or simulator fidelity."
AUD-47c956072226,primary_medical_filter_residual,GeneJepa: A Predictive World Model of the Transcriptome,exclude,empirical,no_future_or_action_evaluation,Masked representation and endpoint benchmarks do not directly evaluate cellular trajectories or action-conditioned transitions.,include,empirical,include_empirical,Transcriptomic perturbation model; directly evaluated through drug-response and perturbation prediction.,include,empirical,include_empirical,"GeneJepa is learned from large-scale single-cell transcriptomes and is operationally tested on perturbation dynamics: chemical, dose, and context features are used to predict post-treatment expression states, and in-silico knockouts produce latent state shifts compared with observed expression shifts. These are directly evaluated one-step biomedical intervention responses."
AUD-df92422224c9,primary_phrase_filter_residual,Integrating Process Mining and Machine Learning for Surgical Workflow Optimization: A Real-World Analysis Using the MOVER EHR Dataset,exclude,empirical,no_future_or_action_evaluation,Conformance and endpoint classification do not evaluate learned workflow rollouts or action responses.,include,empirical,include_empirical,Data-discovered surgical workflow transitions; directly evaluated through conformance fitness precision and timing.,include,empirical,include_empirical,"The study discovers a Petri-net surgical workflow model from timestamped MOVER perioperative EHR event logs. It evaluates the learned clinical-process transition structure with process-mining conformance fitness and precision and analyzes temporal pathway behavior; this is direct fidelity evaluation of a data-derived medical workflow dynamics model, independent of the separate delay classifier."
AUD-c86bf88eead0,primary_phrase_filter_residual,Learning produces an orthogonalized state machine in the hippocampus.,include,empirical,include_empirical,Observed physiological neural dynamics are learned and directly reproduced.,exclude,not_applicable,wrong_domain,Hidden-state task model; The modeled system is outside a substantive medical or biomedical state.,exclude,not_applicable,wrong_domain,"The learned clone-structured causal graph represents hidden states and transitions of a virtual-track task sequence with repeated cues, rewards, and teleportation. Hippocampal calcium activity is compared with that task-state model, but the learned evolving state is the experimental environment rather than a neural, physiological, disease, or patient state."
AUD-4cbb5268d051,primary_phrase_filter_residual,Short- and long-term weekly patient-reported outcomes prediction undergoing radiotherapy: single-patient time series model vs. transformer-based multi-patient time series model,exclude,empirical,no_future_or_action_evaluation,This is ordinary outcome forecasting without action-conditioned patient-state dynamics.,include,empirical,include_empirical,Multivariate patient-reported outcome dynamics; directly evaluated through short and long multi-horizon forecasts.,include,empirical,include_empirical,"Using longitudinal radiotherapy records, the temporal models map recent weekly multivariate patient-reported symptom states to the next one-to-four weekly symptom states. Horizon-specific prediction errors are evaluated chronologically over treatment courses, providing direct evidence for learned evolution of a clinically meaningful patient state rather than unrelated endpoint prediction."
AUD-9531c80046d7,primary_phrase_filter_residual,A Clinical Pathway Model for Severe Stroke Rehabilitation based on Process Mining,exclude,empirical,no_future_or_action_evaluation,The accessible report supports pathway discovery rather than evaluated future workflow generation or intervention response.,uncertain,uncertain,inaccessible_full_text,Possibly mined rehabilitation workflow; Primary text was insufficient to make a defensible eligibility decision.,exclude,not_applicable,inaccessible_full_text,"Stable IEEE metadata confirms the severe-stroke rehabilitation process-mining paper, but no inspectable abstract, methods, results, or full text was available in the primary source material. The record therefore cannot establish whether pathway transitions were learned from clinical logs or whether conformance, future-state, rollout, or action-response behavior was evaluated."
AUD-b1df0d01e706,primary_phrase_filter_residual,Toward Personalized Salbutamol Therapy: Validating Virtual Patient-Derived Population Pharmacokinetic Model with Real-World Data,exclude,empirical,no_learned_dynamics,The transition model is not learned or calibrated from observed patient data in this study.,include,empirical,include_empirical,Fitted population pharmacokinetic dynamics; directly evaluated through real-patient concentration-trajectory validation.,exclude,not_applicable,no_learned_dynamics,"The salbutamol population pharmacokinetic model is fitted to concentration profiles generated by an existing physiologically based pharmacokinetic simulator for virtual patients; observed patient data are used only for external comparison. Thus its transition parameters are not learned, fitted, calibrated, or adapted from observed patient trajectories as required by the inclusion boundary."
AUD-94d47cf0b09a,primary_phrase_filter_residual,A Longitudinal Chronic Disease Risk Lifecycle Management Model for EHR-Based Systems,exclude,empirical,no_primary_empirical_evaluation,The paper does not report a separately extractable empirical dynamics experiment.,exclude,not_applicable,no_primary_empirical_evaluation,Conceptual lifecycle architecture; The primary record lacks extractable empirical dynamics methods and results.,exclude,not_applicable,no_primary_empirical_evaluation,"The full text identifies itself as a conceptual manuscript and states that the proposed longitudinal chronic risk orchestration architecture has no empirical validation. It presents lifecycle layers, theoretical formulas, and deployment considerations, but no patient cohort, fitted transition model, held-out dynamics evaluation, rollout, or intervention-response experiment."
AUD-f0bd315b247d,primary_phrase_filter_residual,BrainLM: A foundation model for brain activity recordings,include,empirical,include_empirical,The model directly predicts future physiological brain states from observed dynamics.,exclude,empirical,no_future_or_action_evaluation,"Masked brain-recording representation; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",include,empirical,include_empirical,"BrainLM learns spatiotemporal fMRI representations from thousands of hours of brain recordings. The primary full text evaluates reconstruction/prediction of held-out brain activity and autoregressive in-silico future activity under targeted network perturbations on unseen cohorts, directly testing learned biomedical state dynamics and intervention response."
AUD-4e37c79357ee,primary_phrase_filter_residual,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,exclude,empirical,no_learned_dynamics,"Training uses simulated trajectories rather than observed patient dynamics, while simulator transitions remain external.",include,empirical,include_empirical,Learned glucose predictor supporting control; directly evaluated through in-silico closed-loop glucose trajectories.,include,empirical,include_empirical,"The glucose-control system learns random-forest and dual-attention next-glucose transition predictors online from state-action observations. Those predictors recursively generate imagined transitions used by the soft actor-critic controller, and the paper evaluates multi-step glucose prediction and closed-loop control across virtual patients; planning therefore directly depends on learned medical dynamics."
