title,year,venue_or_source,link,paper_type,overall_label,relevance_note
"Beyond Generative AI: World Models for Clinical Prediction, Counterfactuals, and Planning",2025,"arXiv","https://arxiv.org/abs/2511.16333",survey,Risk,"Closest capability-oriented survey; makes a generic review high risk."
"Medical World Models: Representing Medical States, Modelling Clinical Dynamics and Guiding Intervention Policies",2026,"arXiv","https://arxiv.org/abs/2606.16721",survey,Risk,"Closest state-dynamics-policy roadmap."
"Medical World Models in Healthcare: Foundations, Applications, and Challenges for Trustworthy Clinical Translation",2026,"arXiv","https://arxiv.org/abs/2607.25242",survey,Risk,"Structured broad review with 98-source corpus and 14 strict empirical studies."
"Medical World Model",2025,"ICCV 2025","https://openaccess.thecvf.com/content/ICCV2025/html/Yang_Medical_World_Model_ICCV_2025_paper.html","method + benchmark",A,"Treatment-conditioned tumor simulation and retrospective decision support."
"EHRWorld: A Patient-Centric Medical World Model for Long-Horizon Clinical Trajectories",2026,"arXiv","https://arxiv.org/abs/2602.03569","method + benchmark",A,"Long-horizon EHR rollout and error-accumulation evaluation."
"Simulating Clinical Interventions with a Generative Multimodal Model of Human Physiology",2026,"arXiv","https://arxiv.org/abs/2604.27899","method + benchmark",A,"Multimodal physiology forecasting and intervention-conditioned simulation."
"ChronoMedicalWorld: A Medical World Model for Learning Patient Trajectories from Longitudinal Care Data",2026,"arXiv","https://arxiv.org/abs/2605.21963","method + benchmark",A,"Action-conditioned chronic-disease trajectory forecasting."
"CLARITY: Medical World Model for Guiding Treatment Decisions by Modeling Context-Aware Disease Trajectories in Latent Space",2026,"arXiv","https://arxiv.org/abs/2512.08029","method + benchmark",A,"Latent treatment-conditioned glioma rollout and candidate planning."
"Brain-WM: Brain Glioblastoma World Model",2026,"arXiv","https://arxiv.org/abs/2603.07562","method + benchmark",A,"Joint treatment prediction and future MRI generation."
"Cardiac Copilot: Automatic Probe Guidance for Echocardiography with World Model",2024,"MICCAI 2024","https://link.springer.com/chapter/10.1007/978-3-031-72378-0_18","pure method",A,"Real-data probe-motion world model and navigation evaluation."
"EchoWorld: Learning Motion-Aware World Models for Echocardiography Probe Guidance",2025,"CVPR 2025","https://openaccess.thecvf.com/content/CVPR2025/html/Yue_EchoWorld_Learning_Motion-Aware_World_Models_for_Echocardiography_Probe_Guidance_CVPR_2025_paper.html","method + benchmark",A,"Sequential visual-motion world modeling for probe guidance."
"SAW: Toward a Surgical Action World Model via Controllable and Scalable Video Generation",2026,"arXiv","https://arxiv.org/abs/2603.13024","method + benchmark",A,"Action-conditioned surgical video generation and downstream utility."
"Surg-UniWorld: A Unified Surgical World Model with Multimodal Control Experts",2026,"arXiv","https://arxiv.org/abs/2608.06770","method + benchmark",A,"Multimodal controllable surgical generation and Cholec80-SurgWAM."
"Surgical WAM: A World-Action Model for Data-Efficient Surgical Robot Learning",2026,"arXiv","https://arxiv.org/abs/2608.11204","method + benchmark",A,"Closed-loop receding-horizon control in simulated surgical tasks."
"Intervention-Aware Clinical World Model for Post-Op Outcome Forecasting in Cardiology",2026,"MICCAI 2026 MWM Workshop / arXiv","https://arxiv.org/abs/2608.13518","method + benchmark",A,"Irregular post-intervention state updates and internal cardiology validation."
